company_id,type,rule_id,text,confidence_pct
ABB,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
ABB,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,68
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,86
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,77
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,81
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95
ADANIGREEN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
ADANIPOWER,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,68
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,84
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84
APOLLOHOSP,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,93
ASIANPAINT,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
ASIANPAINT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,65
ATGL,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ATGL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76
ATGL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,67
AXISBANK,con,CON_01,Debt-to-equity ratio of 8.25 is elevated for a non-financial company and warrants monitoring,100
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
BAJAJ-AUTO,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.79 is elevated for a non-financial company and warrants monitoring,92
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,97
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.82 is elevated for a non-financial company and warrants monitoring,85
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,87
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,81
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated for a non-financial company and warrants monitoring,100
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
BEL,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,75
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,97
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
BHEL,pro,FALLBACK_PRO,Available financial data did not trigger a specific predefined positive rule; company remains covered for further financial review,61
BOSCHLTD,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BPCL,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70
BRITANNIA,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated for a non-financial company and warrants monitoring,100
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 6.86 is elevated for a non-financial company and warrants monitoring,100
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,69
CIPLA,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
CIPLA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
COALINDIA,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,69
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,69
DABUR,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DIVISLAB,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,69
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,96
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76
DMART,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
DMART,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
DRREDDY,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,70
EICHERMOT,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,67
GAIL,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
